humidity_inside,temperature_inside,co2_inside,temperature_heater,temperature_wall_inside,state_air_quality
52.97,22.346,1212,42.937,13.437,1
52.82,22.687,1352,42.25,13.625,1
52.68,22.673,1425,42.937,13.687,1
57.58,23.203,1701,42.875,13.812,1
60.0,23.326,1895,41.687,13.812,1
62.41,23.015,2123,41.937,13.875,2
53.51,19.774,1111,26.187,11.375,1
49.1,21.434,776,46.5,12.25,1
47.78,22.26,866,46.375,12.437,1
46.97,22.939,597,44.5,12.5,1
46.11,22.752,722,44.062,12.437,1
51.44,23.012,1558,42.5,12.562,1
48.1,22.929,1275,45.5,12.562,1
47.81,23.139,1375,43.25,12.625,1
49.97,23.421,1708,45.75,12.812,1
51.51,23.466,1964,46.25,12.812,1
54.2,19.751,1086,25.375,10.125,1
42.11,18.415,450,21.437,10.187,1
46.96,20.976,812,45.437,11.312,1
47.79,22.687,1034,47.125,11.812,1
48.59,22.809,1163,43.125,11.937,1
48.52,23.176,1366,46.5,12.125,1
49.69,22.915,1540,45.875,12.062,1
50.98,23.164,1772,44.375,12.187,1
